     X	             Y	             Z
0.0000e+00	1.0000e+00	1.0000e+00
1.0000e+00	0.0000e+00	1.0000e+00
9.2639e-01	2.2639e-01	1.0000e+00
9.2639e-01	2.2639e-01	1.0000e+00
7.2023e-01	6.7977e-01	1.0000e+00
7.2023e-01	6.7977e-01	1.0000e+00
7.1223e-01	7.0000e-01	1.0000e+00
7.1223e-01	7.0000e-01	1.0000e+00
7.0657e-01	7.0657e-01	1.0000e+00
7.0657e-01	7.0657e-01	1.0000e+00
6.7977e-01	7.2023e-01	1.0000e+00
6.7977e-01	7.2023e-01	1.0000e+00
7.0000e-01	7.1223e-01	1.0000e+00
7.0000e-01	7.1223e-01	1.0000e+00
2.2639e-01	9.2639e-01	1.0000e+00
2.2639e-01	9.2639e-01	1.0000e+00
