     X	             Y	             Z
4.3259e+00	2.2407e+00	5.0000e+00
4.4000e+00	2.1452e+00	5.0000e+00
4.3259e+00	2.2407e+00	5.0000e+00
4.2541e+00	2.3333e+00	5.0000e+00
4.4814e+00	2.1018e+00	5.0000e+00
4.6623e+00	2.0055e+00	5.0000e+00
4.6623e+00	2.0055e+00	5.0000e+00
4.6667e+00	2.0031e+00	5.0000e+00
4.4814e+00	2.1018e+00	5.0000e+00
4.4000e+00	2.1452e+00	5.0000e+00
4.6698e+00	2.0040e+00	5.0000e+00
4.8851e+00	2.0603e+00	5.0000e+00
4.8851e+00	2.0603e+00	5.0000e+00
4.9333e+00	2.0729e+00	5.0000e+00
4.6698e+00	2.0040e+00	5.0000e+00
4.6667e+00	2.0031e+00	5.0000e+00
5.0472e+00	2.1910e+00	5.0000e+00
5.1843e+00	2.3333e+00	5.0000e+00
5.0472e+00	2.1910e+00	5.0000e+00
4.9333e+00	2.0729e+00	5.0000e+00
4.0779e+00	2.5974e+00	5.0000e+00
4.1333e+00	2.4891e+00	5.0000e+00
4.0779e+00	2.5974e+00	5.0000e+00
4.0425e+00	2.6667e+00	5.0000e+00
4.1947e+00	2.4100e+00	5.0000e+00
4.2541e+00	2.3333e+00	5.0000e+00
4.1947e+00	2.4100e+00	5.0000e+00
4.1333e+00	2.4891e+00	5.0000e+00
5.1929e+00	2.3422e+00	5.0000e+00
5.1843e+00	2.3333e+00	5.0000e+00
5.1929e+00	2.3422e+00	5.0000e+00
5.2000e+00	2.3496e+00	5.0000e+00
5.3060e+00	2.5341e+00	5.0000e+00
5.3822e+00	2.6667e+00	5.0000e+00
5.3060e+00	2.5341e+00	5.0000e+00
5.2000e+00	2.3496e+00	5.0000e+00
3.9739e+00	2.8007e+00	5.0000e+00
4.0425e+00	2.6667e+00	5.0000e+00
3.8815e+00	2.9815e+00	5.0000e+00
3.8720e+00	3.0000e+00	5.0000e+00
3.8815e+00	2.9815e+00	5.0000e+00
3.9739e+00	2.8007e+00	5.0000e+00
