     X	             Y	             Z
4.6261e+00	2.5261e+00	7.5000e+00
4.6500e+00	2.5097e+00	7.5000e+00
4.6261e+00	2.5261e+00	7.5000e+00
4.5911e+00	2.5500e+00	7.5000e+00
4.7671e+00	2.5171e+00	7.5000e+00
4.8000e+00	2.5192e+00	7.5000e+00
4.7671e+00	2.5171e+00	7.5000e+00
4.6879e+00	2.5121e+00	7.5000e+00
4.6879e+00	2.5121e+00	7.5000e+00
4.6500e+00	2.5097e+00	7.5000e+00
4.8170e+00	2.5330e+00	7.5000e+00
4.8381e+00	2.5500e+00	7.5000e+00
4.8170e+00	2.5330e+00	7.5000e+00
4.8000e+00	2.5192e+00	7.5000e+00
1.0922e+01	2.5220e+00	7.5000e+00
1.0950e+01	2.5052e+00	7.5000e+00
1.0922e+01	2.5220e+00	7.5000e+00
1.0875e+01	2.5500e+00	7.5000e+00
1.1073e+01	2.5233e+00	7.5000e+00
1.1100e+01	2.5272e+00	7.5000e+00
1.1073e+01	2.5233e+00	7.5000e+00
1.0989e+01	2.5109e+00	7.5000e+00
1.0989e+01	2.5109e+00	7.5000e+00
1.0950e+01	2.5052e+00	7.5000e+00
1.1112e+01	2.5380e+00	7.5000e+00
1.1126e+01	2.5500e+00	7.5000e+00
1.1112e+01	2.5380e+00	7.5000e+00
1.1100e+01	2.5272e+00	7.5000e+00
1.7218e+01	2.5184e+00	7.5000e+00
1.7250e+01	2.5021e+00	7.5000e+00
1.7218e+01	2.5184e+00	7.5000e+00
1.7157e+01	2.5500e+00	7.5000e+00
1.7383e+01	2.5327e+00	7.5000e+00
1.7400e+01	2.5367e+00	7.5000e+00
1.7383e+01	2.5327e+00	7.5000e+00
1.7289e+01	2.5111e+00	7.5000e+00
1.7289e+01	2.5111e+00	7.5000e+00
1.7250e+01	2.5021e+00	7.5000e+00
1.7407e+01	2.5433e+00	7.5000e+00
1.7414e+01	2.5500e+00	7.5000e+00
1.7407e+01	2.5433e+00	7.5000e+00
1.7400e+01	2.5367e+00	7.5000e+00
2.3515e+01	2.5154e+00	7.5000e+00
2.3550e+01	2.5004e+00	7.5000e+00
2.3515e+01	2.5154e+00	7.5000e+00
2.3436e+01	2.5500e+00	7.5000e+00
2.3696e+01	2.5465e+00	7.5000e+00
2.3700e+01	2.5476e+00	7.5000e+00
2.3696e+01	2.5465e+00	7.5000e+00
2.3588e+01	2.5122e+00	7.5000e+00
2.3588e+01	2.5122e+00	7.5000e+00
2.3550e+01	2.5004e+00	7.5000e+00
2.3701e+01	2.5488e+00	7.5000e+00
2.3702e+01	2.5500e+00	7.5000e+00
2.3701e+01	2.5488e+00	7.5000e+00
2.3700e+01	2.5476e+00	7.5000e+00
2.9813e+01	2.5130e+00	7.5000e+00
2.9850e+01	2.5001e+00	7.5000e+00
2.9813e+01	2.5130e+00	7.5000e+00
2.9707e+01	2.5500e+00	7.5000e+00
2.9886e+01	2.5143e+00	7.5000e+00
2.9975e+01	2.5500e+00	7.5000e+00
2.9886e+01	2.5143e+00	7.5000e+00
2.9850e+01	2.5001e+00	7.5000e+00
4.4637e+00	2.6637e+00	7.5000e+00
4.5000e+00	2.6123e+00	7.5000e+00
4.4637e+00	2.6637e+00	7.5000e+00
4.4381e+00	2.7000e+00	7.5000e+00
4.5370e+00	2.5870e+00	7.5000e+00
4.5911e+00	2.5500e+00	7.5000e+00
4.5370e+00	2.5870e+00	7.5000e+00
4.5000e+00	2.6123e+00	7.5000e+00
4.9000e+00	2.6000e+00	7.5000e+00
4.8381e+00	2.5500e+00	7.5000e+00
4.9000e+00	2.6000e+00	7.5000e+00
4.9500e+00	2.6405e+00	7.5000e+00
4.9735e+00	2.6765e+00	7.5000e+00
4.9887e+00	2.7000e+00	7.5000e+00
4.9735e+00	2.6765e+00	7.5000e+00
4.9500e+00	2.6405e+00	7.5000e+00
1.0755e+01	2.6552e+00	7.5000e+00
1.0800e+01	2.5953e+00	7.5000e+00
1.0755e+01	2.6552e+00	7.5000e+00
1.0722e+01	2.7000e+00	7.5000e+00
1.0828e+01	2.5783e+00	7.5000e+00
1.0875e+01	2.5500e+00	7.5000e+00
1.0828e+01	2.5783e+00	7.5000e+00
1.0800e+01	2.5953e+00	7.5000e+00
1.1191e+01	2.6087e+00	7.5000e+00
1.1126e+01	2.5500e+00	7.5000e+00
1.1191e+01	2.6087e+00	7.5000e+00
1.1250e+01	2.6610e+00	7.5000e+00
1.1265e+01	2.6851e+00	7.5000e+00
1.1274e+01	2.7000e+00	7.5000e+00
1.1265e+01	2.6851e+00	7.5000e+00
1.1250e+01	2.6610e+00	7.5000e+00
1.7047e+01	2.6466e+00	7.5000e+00
1.7100e+01	2.5797e+00	7.5000e+00
1.7047e+01	2.6466e+00	7.5000e+00
1.7004e+01	2.7000e+00	7.5000e+00
1.7120e+01	2.5696e+00	7.5000e+00
1.7157e+01	2.5500e+00	7.5000e+00
1.7120e+01	2.5696e+00	7.5000e+00
