     X	             Y	             Z
4.3259e+00	4.2407e+00	7.0000e+00
4.4000e+00	4.1452e+00	7.0000e+00
4.3259e+00	4.2407e+00	7.0000e+00
4.2541e+00	4.3333e+00	7.0000e+00
4.4814e+00	4.1018e+00	7.0000e+00
4.6623e+00	4.0055e+00	7.0000e+00
4.6623e+00	4.0055e+00	7.0000e+00
4.6667e+00	4.0031e+00	7.0000e+00
4.4814e+00	4.1018e+00	7.0000e+00
4.4000e+00	4.1452e+00	7.0000e+00
4.6698e+00	4.0040e+00	7.0000e+00
4.8851e+00	4.0603e+00	7.0000e+00
4.8851e+00	4.0603e+00	7.0000e+00
4.9333e+00	4.0729e+00	7.0000e+00
4.6698e+00	4.0040e+00	7.0000e+00
4.6667e+00	4.0031e+00	7.0000e+00
5.0472e+00	4.1910e+00	7.0000e+00
5.1843e+00	4.3333e+00	7.0000e+00
5.0472e+00	4.1910e+00	7.0000e+00
4.9333e+00	4.0729e+00	7.0000e+00
4.0779e+00	4.5974e+00	7.0000e+00
4.1333e+00	4.4891e+00	7.0000e+00
4.0779e+00	4.5974e+00	7.0000e+00
4.0425e+00	4.6667e+00	7.0000e+00
4.1947e+00	4.4100e+00	7.0000e+00
4.2541e+00	4.3333e+00	7.0000e+00
4.1947e+00	4.4100e+00	7.0000e+00
4.1333e+00	4.4891e+00	7.0000e+00
5.1929e+00	4.3422e+00	7.0000e+00
5.1843e+00	4.3333e+00	7.0000e+00
5.1929e+00	4.3422e+00	7.0000e+00
5.2000e+00	4.3496e+00	7.0000e+00
5.3060e+00	4.5341e+00	7.0000e+00
5.3822e+00	4.6667e+00	7.0000e+00
5.3060e+00	4.5341e+00	7.0000e+00
5.2000e+00	4.3496e+00	7.0000e+00
3.9739e+00	4.8007e+00	7.0000e+00
4.0425e+00	4.6667e+00	7.0000e+00
3.8815e+00	4.9815e+00	7.0000e+00
3.8720e+00	5.0000e+00	7.0000e+00
3.8815e+00	4.9815e+00	7.0000e+00
3.9739e+00	4.8007e+00	7.0000e+00
5.4175e+00	4.7281e+00	7.0000e+00
5.3822e+00	4.6667e+00	7.0000e+00
5.4175e+00	4.7281e+00	7.0000e+00
5.4667e+00	4.8137e+00	7.0000e+00
5.5189e+00	4.9348e+00	7.0000e+00
5.5470e+00	5.0000e+00	7.0000e+00
5.5189e+00	4.9348e+00	7.0000e+00
5.4667e+00	4.8137e+00	7.0000e+00
3.7802e+00	5.2252e+00	7.0000e+00
3.8667e+00	5.0104e+00	7.0000e+00
3.7802e+00	5.2252e+00	7.0000e+00
3.7366e+00	5.3333e+00	7.0000e+00
3.8699e+00	5.0041e+00	7.0000e+00
3.8720e+00	5.0000e+00	7.0000e+00
3.8699e+00	5.0041e+00	7.0000e+00
3.8667e+00	5.0104e+00	7.0000e+00
5.6122e+00	5.1514e+00	7.0000e+00
5.5470e+00	5.0000e+00	7.0000e+00
5.6122e+00	5.1514e+00	7.0000e+00
5.6408e+00	5.2177e+00	7.0000e+00
5.6408e+00	5.2177e+00	7.0000e+00
5.6907e+00	5.3333e+00	7.0000e+00
3.8554e+00	5.3474e+00	7.0000e+00
3.7366e+00	5.3333e+00	7.0000e+00
3.8554e+00	5.3474e+00	7.0000e+00
3.8667e+00	5.3480e+00	7.0000e+00
3.8789e+00	5.3486e+00	7.0000e+00
4.1056e+00	5.3681e+00	7.0000e+00
4.1056e+00	5.3681e+00	7.0000e+00
4.1333e+00	5.3692e+00	7.0000e+00
3.8789e+00	5.3486e+00	7.0000e+00
3.8667e+00	5.3480e+00	7.0000e+00
4.1627e+00	5.3700e+00	7.0000e+00
4.3621e+00	5.3807e+00	7.0000e+00
4.3621e+00	5.3807e+00	7.0000e+00
4.4000e+00	5.3817e+00	7.0000e+00
4.1627e+00	5.3700e+00	7.0000e+00
4.1333e+00	5.3692e+00	7.0000e+00
4.4390e+00	5.3821e+00	7.0000e+00
4.6244e+00	5.3861e+00	7.0000e+00
4.6244e+00	5.3861e+00	7.0000e+00
4.6667e+00	5.3866e+00	7.0000e+00
4.4390e+00	5.3821e+00	7.0000e+00
4.4000e+00	5.3817e+00	7.0000e+00
4.7091e+00	5.3863e+00	7.0000e+00
4.8925e+00	5.3844e+00	7.0000e+00
4.8925e+00	5.3844e+00	7.0000e+00
4.9333e+00	5.3842e+00	7.0000e+00
4.7091e+00	5.3863e+00	7.0000e+00
