     X	             Y	             Z
4.3259e+00	3.2407e+00	6.0000e+00
4.4000e+00	3.1452e+00	6.0000e+00
4.3259e+00	3.2407e+00	6.0000e+00
4.2541e+00	3.3333e+00	6.0000e+00
4.4814e+00	3.1018e+00	6.0000e+00
4.6623e+00	3.0055e+00	6.0000e+00
4.6623e+00	3.0055e+00	6.0000e+00
4.6667e+00	3.0031e+00	6.0000e+00
4.4814e+00	3.1018e+00	6.0000e+00
4.4000e+00	3.1452e+00	6.0000e+00
4.6698e+00	3.0040e+00	6.0000e+00
4.8851e+00	3.0603e+00	6.0000e+00
4.8851e+00	3.0603e+00	6.0000e+00
4.9333e+00	3.0729e+00	6.0000e+00
4.6698e+00	3.0040e+00	6.0000e+00
4.6667e+00	3.0031e+00	6.0000e+00
5.0472e+00	3.1910e+00	6.0000e+00
5.1843e+00	3.3333e+00	6.0000e+00
5.0472e+00	3.1910e+00	6.0000e+00
4.9333e+00	3.0729e+00	6.0000e+00
4.0779e+00	3.5974e+00	6.0000e+00
4.1333e+00	3.4891e+00	6.0000e+00
4.0779e+00	3.5974e+00	6.0000e+00
4.0425e+00	3.6667e+00	6.0000e+00
4.1947e+00	3.4100e+00	6.0000e+00
4.2541e+00	3.3333e+00	6.0000e+00
4.1947e+00	3.4100e+00	6.0000e+00
4.1333e+00	3.4891e+00	6.0000e+00
5.1929e+00	3.3422e+00	6.0000e+00
5.1843e+00	3.3333e+00	6.0000e+00
5.1929e+00	3.3422e+00	6.0000e+00
5.2000e+00	3.3496e+00	6.0000e+00
5.3060e+00	3.5341e+00	6.0000e+00
5.3822e+00	3.6667e+00	6.0000e+00
5.3060e+00	3.5341e+00	6.0000e+00
5.2000e+00	3.3496e+00	6.0000e+00
3.9739e+00	3.8007e+00	6.0000e+00
4.0425e+00	3.6667e+00	6.0000e+00
3.8815e+00	3.9815e+00	6.0000e+00
3.8720e+00	4.0000e+00	6.0000e+00
3.8815e+00	3.9815e+00	6.0000e+00
3.9739e+00	3.8007e+00	6.0000e+00
5.4175e+00	3.7281e+00	6.0000e+00
5.3822e+00	3.6667e+00	6.0000e+00
5.4175e+00	3.7281e+00	6.0000e+00
5.4667e+00	3.8137e+00	6.0000e+00
5.5189e+00	3.9348e+00	6.0000e+00
5.5470e+00	4.0000e+00	6.0000e+00
5.5189e+00	3.9348e+00	6.0000e+00
5.4667e+00	3.8137e+00	6.0000e+00
3.7802e+00	4.2252e+00	6.0000e+00
3.8667e+00	4.0104e+00	6.0000e+00
3.7802e+00	4.2252e+00	6.0000e+00
3.7366e+00	4.3333e+00	6.0000e+00
3.8699e+00	4.0041e+00	6.0000e+00
3.8720e+00	4.0000e+00	6.0000e+00
3.8699e+00	4.0041e+00	6.0000e+00
3.8667e+00	4.0104e+00	6.0000e+00
5.6122e+00	4.1514e+00	6.0000e+00
5.5470e+00	4.0000e+00	6.0000e+00
5.6122e+00	4.1514e+00	6.0000e+00
5.6408e+00	4.2177e+00	6.0000e+00
5.6408e+00	4.2177e+00	6.0000e+00
5.6907e+00	4.3333e+00	6.0000e+00
3.6909e+00	4.4469e+00	6.0000e+00
3.7366e+00	4.3333e+00	6.0000e+00
3.6047e+00	4.6608e+00	6.0000e+00
3.6023e+00	4.6667e+00	6.0000e+00
3.6047e+00	4.6608e+00	6.0000e+00
3.6909e+00	4.4469e+00	6.0000e+00
5.7056e+00	4.3680e+00	6.0000e+00
5.6907e+00	4.3333e+00	6.0000e+00
5.7056e+00	4.3680e+00	6.0000e+00
5.7333e+00	4.4323e+00	6.0000e+00
5.7921e+00	4.5932e+00	6.0000e+00
5.8190e+00	4.6667e+00	6.0000e+00
5.7921e+00	4.5932e+00	6.0000e+00
5.7333e+00	4.4323e+00	6.0000e+00
9.9244e+00	4.5722e+00	6.0000e+00
1.0000e+01	4.3679e+00	6.0000e+00
9.9244e+00	4.5722e+00	6.0000e+00
9.8895e+00	4.6667e+00	6.0000e+00
3.5198e+00	4.8998e+00	6.0000e+00
3.6000e+00	4.6724e+00	6.0000e+00
3.5198e+00	4.8998e+00	6.0000e+00
3.4844e+00	5.0000e+00	6.0000e+00
3.6015e+00	4.6686e+00	6.0000e+00
3.6023e+00	4.6667e+00	6.0000e+00
3.6015e+00	4.6686e+00	6.0000e+00
3.6000e+00	4.6724e+00	6.0000e+00
5.8758e+00	4.8219e+00	6.0000e+00
5.8190e+00	4.6667e+00	6.0000e+00
5.8758e+00	4.8219e+00	6.0000e+00
5.8911e+00	4.8639e+00	6.0000e+00
5.8911e+00	4.8639e+00	6.0000e+00
5.9409e+00	5.0000e+00	6.0000e+00
9.8401e+00	4.8002e+00	6.0000e+00
9.8895e+00	4.6667e+00	6.0000e+00
9.7945e+00	4.9235e+00	6.0000e+00
9.7662e+00	5.0000e+00	6.0000e+00
9.7945e+00	4.9235e+00	6.0000e+00
9.8401e+00	4.8002e+00	6.0000e+00
3.4382e+00	5.1311e+00	6.0000e+00
3.4844e+00	5.0000e+00	6.0000e+00
3.3933e+00	5.2584e+00	6.0000e+00
3.3668e+00	5.3333e+00	6.0000e+00
3.3933e+00	5.2584e+00	6.0000e+00
3.4382e+00	5.1311e+00	6.0000e+00
5.9594e+00	5.0507e+00	6.0000e+00
5.9409e+00	5.0000e+00	6.0000e+00
5.9594e+00	5.0507e+00	6.0000e+00
6.0000e+00	5.1618e+00	6.0000e+00
6.0408e+00	5.2824e+00	6.0000e+00
6.0580e+00	5.3333e+00	6.0000e+00
6.0408e+00	5.2824e+00	6.0000e+00
6.0000e+00	5.1618e+00	6.0000e+00
9.6751e+00	5.2605e+00	6.0000e+00
9.7333e+00	5.0890e+00	6.0000e+00
9.6751e+00	5.2605e+00	6.0000e+00
9.6504e+00	5.3333e+00	6.0000e+00
9.7558e+00	5.0281e+00	6.0000e+00
9.7662e+00	5.0000e+00	6.0000e+00
9.7558e+00	5.0281e+00	6.0000e+00
9.7333e+00	5.0890e+00	6.0000e+00
3.5750e+00	5.3646e+00	6.0000e+00
3.3668e+00	5.3333e+00	6.0000e+00
3.5750e+00	5.3646e+00	6.0000e+00
3.6000e+00	5.3664e+00	6.0000e+00
3.6278e+00	5.3681e+00	6.0000e+00
3.8206e+00	5.3909e+00	6.0000e+00
3.8206e+00	5.3909e+00	6.0000e+00
3.8667e+00	5.3936e+00	6.0000e+00
3.6278e+00	5.3681e+00	6.0000e+00
3.6000e+00	5.3664e+00	6.0000e+00
3.9166e+00	5.3958e+00	6.0000e+00
4.0727e+00	5.4092e+00	6.0000e+00
4.0727e+00	5.4092e+00	6.0000e+00
4.1333e+00	5.4117e+00	6.0000e+00
3.9166e+00	5.3958e+00	6.0000e+00
3.8667e+00	5.3936e+00	6.0000e+00
4.1974e+00	5.4135e+00	6.0000e+00
4.3302e+00	5.4206e+00	6.0000e+00
4.3302e+00	5.4206e+00	6.0000e+00
4.4000e+00	5.4224e+00	6.0000e+00
4.1974e+00	5.4135e+00	6.0000e+00
4.1333e+00	5.4117e+00	6.0000e+00
4.4719e+00	5.4232e+00	6.0000e+00
4.5927e+00	5.4258e+00	6.0000e+00
4.5927e+00	5.4258e+00	6.0000e+00
4.6667e+00	5.4266e+00	6.0000e+00
4.4719e+00	5.4232e+00	6.0000e+00
4.4000e+00	5.4224e+00	6.0000e+00
4.7409e+00	5.4262e+00	6.0000e+00
4.8601e+00	5.4249e+00	6.0000e+00
4.8601e+00	5.4249e+00	6.0000e+00
4.9333e+00	5.4245e+00	6.0000e+00
4.7409e+00	5.4262e+00	6.0000e+00
4.6667e+00	5.4266e+00	6.0000e+00
5.0051e+00	5.4230e+00	6.0000e+00
5.1326e+00	5.4176e+00	6.0000e+00
5.1326e+00	5.4176e+00	6.0000e+00
5.2000e+00	5.4162e+00	6.0000e+00
5.0051e+00	5.4230e+00	6.0000e+00
4.9333e+00	5.4245e+00	6.0000e+00
5.2644e+00	5.4138e+00	6.0000e+00
5.4111e+00	5.4028e+00	6.0000e+00
5.4111e+00	5.4028e+00	6.0000e+00
5.4667e+00	5.4007e+00	6.0000e+00
5.2644e+00	5.4138e+00	6.0000e+00
5.2000e+00	5.4162e+00	6.0000e+00
5.5184e+00	5.3980e+00	6.0000e+00
5.6969e+00	5.3789e+00	6.0000e+00
5.6969e+00	5.3789e+00	6.0000e+00
5.7333e+00	5.3769e+00	6.0000e+00
5.5184e+00	5.3980e+00	6.0000e+00
5.4667e+00	5.4007e+00	6.0000e+00
5.7664e+00	5.3747e+00	6.0000e+00
5.9921e+00	5.3432e+00	6.0000e+00
5.9921e+00	5.3432e+00	6.0000e+00
6.0000e+00	5.3426e+00	6.0000e+00
5.7664e+00	5.3747e+00	6.0000e+00
5.7333e+00	5.3769e+00	6.0000e+00
6.0070e+00	5.3420e+00	6.0000e+00
6.0580e+00	5.3333e+00	6.0000e+00
6.0070e+00	5.3420e+00	6.0000e+00
6.0000e+00	5.3426e+00	6.0000e+00
9.7235e+00	5.3456e+00	6.0000e+00
9.6504e+00	5.3333e+00	6.0000e+00
9.7235e+00	5.3456e+00	6.0000e+00
9.7333e+00	5.3464e+00	6.0000e+00
9.7444e+00	5.3472e+00	6.0000e+00
9.9649e+00	5.3773e+00	6.0000e+00
9.9649e+00	5.3773e+00	6.0000e+00
1.0000e+01	5.3795e+00	6.0000e+00
9.7444e+00	5.3472e+00	6.0000e+00
9.7333e+00	5.3464e+00	6.0000e+00
3.4382e+00	5.1311e+00	6.0000e+00
3.4844e+00	5.0000e+00	6.0000e+00
3.3933e+00	5.2584e+00	6.0000e+00
3.3668e+00	5.3333e+00	6.0000e+00
3.3933e+00	5.2584e+00	6.0000e+00
3.4382e+00	5.1311e+00	6.0000e+00
5.9594e+00	5.0507e+00	6.0000e+00
5.9409e+00	5.0000e+00	6.0000e+00
5.9594e+00	5.0507e+00	6.0000e+00
6.0000e+00	5.1618e+00	6.0000e+00
6.0408e+00	5.2824e+00	6.0000e+00
6.0580e+00	5.3333e+00	6.0000e+00
6.0408e+00	5.2824e+00	6.0000e+00
6.0000e+00	5.1618e+00	6.0000e+00
9.6751e+00	5.2605e+00	6.0000e+00
9.7333e+00	5.0890e+00	6.0000e+00
9.6751e+00	5.2605e+00	6.0000e+00
9.6504e+00	5.3333e+00	6.0000e+00
9.7558e+00	5.0281e+00	6.0000e+00
9.7662e+00	5.0000e+00	6.0000e+00
9.7558e+00	5.0281e+00	6.0000e+00
9.7333e+00	5.0890e+00	6.0000e+00
3.2771e+00	5.5963e+00	6.0000e+00
3.3333e+00	5.4283e+00	6.0000e+00
3.2771e+00	5.5963e+00	6.0000e+00
3.2535e+00	5.6667e+00	6.0000e+00
3.3566e+00	5.3624e+00	6.0000e+00
3.3668e+00	5.3333e+00	6.0000e+00
3.3566e+00	5.3624e+00	6.0000e+00
3.3333e+00	5.4283e+00	6.0000e+00
6.1005e+00	5.4589e+00	6.0000e+00
6.0580e+00	5.3333e+00	6.0000e+00
6.1200e+00	5.5167e+00	6.0000e+00
6.1707e+00	5.6667e+00	6.0000e+00
6.1200e+00	5.5167e+00	6.0000e+00
6.1005e+00	5.4589e+00	6.0000e+00
9.5956e+00	5.4945e+00	6.0000e+00
9.6504e+00	5.3333e+00	6.0000e+00
9.5892e+00	5.5135e+00	6.0000e+00
9.5372e+00	5.6667e+00	6.0000e+00
9.5892e+00	5.5135e+00	6.0000e+00
9.5956e+00	5.4945e+00	6.0000e+00
3.1984e+00	5.8313e+00	6.0000e+00
3.2535e+00	5.6667e+00	6.0000e+00
3.1960e+00	5.8383e+00	6.0000e+00
3.1419e+00	6.0000e+00	6.0000e+00
3.1960e+00	5.8383e+00	6.0000e+00
3.1984e+00	5.8313e+00	6.0000e+00
6.1992e+00	5.7510e+00	6.0000e+00
6.1707e+00	5.6667e+00	6.0000e+00
6.1992e+00	5.7510e+00	6.0000e+00
6.2667e+00	5.9504e+00	6.0000e+00
6.2784e+00	5.9853e+00	6.0000e+00
6.2833e+00	6.0000e+00	6.0000e+00
6.2784e+00	5.9853e+00	6.0000e+00
6.2667e+00	5.9504e+00	6.0000e+00
9.4370e+00	5.9629e+00	6.0000e+00
9.4667e+00	5.8744e+00	6.0000e+00
9.4370e+00	5.9629e+00	6.0000e+00
9.4245e+00	6.0000e+00	6.0000e+00
9.5162e+00	5.7286e+00	6.0000e+00
9.5372e+00	5.6667e+00	6.0000e+00
9.5162e+00	5.7286e+00	6.0000e+00
9.4667e+00	5.8744e+00	6.0000e+00
3.0406e+00	6.3008e+00	6.0000e+00
