     X	             Y	             Z
4.5964e+00	2.0046e+01	2.5000e+01
4.6500e+00	2.0010e+01	2.5000e+01
4.5964e+00	2.0046e+01	2.5000e+01
4.5181e+00	2.0100e+01	2.5000e+01
4.7137e+00	2.0014e+01	2.5000e+01
4.7349e+00	2.0015e+01	2.5000e+01
4.7349e+00	2.0015e+01	2.5000e+01
4.8000e+00	2.0019e+01	2.5000e+01
4.7137e+00	2.0014e+01	2.5000e+01
4.6500e+00	2.0010e+01	2.5000e+01
4.8447e+00	2.0055e+01	2.5000e+01
4.8999e+00	2.0100e+01	2.5000e+01
4.8447e+00	2.0055e+01	2.5000e+01
4.8000e+00	2.0019e+01	2.5000e+01
1.0798e+01	2.0098e+01	2.5000e+01
1.0800e+01	2.0095e+01	2.5000e+01
1.0798e+01	2.0098e+01	2.5000e+01
1.0796e+01	2.0100e+01	2.5000e+01
1.0891e+01	2.0041e+01	2.5000e+01
1.0950e+01	2.0005e+01	2.5000e+01
1.0891e+01	2.0041e+01	2.5000e+01
1.0812e+01	2.0088e+01	2.5000e+01
1.0812e+01	2.0088e+01	2.5000e+01
1.0800e+01	2.0095e+01	2.5000e+01
1.1015e+01	2.0015e+01	2.5000e+01
1.1033e+01	2.0017e+01	2.5000e+01
1.1033e+01	2.0017e+01	2.5000e+01
1.1100e+01	2.0027e+01	2.5000e+01
1.1015e+01	2.0015e+01	2.5000e+01
1.0950e+01	2.0005e+01	2.5000e+01
1.1138e+01	2.0062e+01	2.5000e+01
1.1182e+01	2.0100e+01	2.5000e+01
1.1138e+01	2.0062e+01	2.5000e+01
1.1100e+01	2.0027e+01	2.5000e+01
1.7091e+01	2.0091e+01	2.5000e+01
1.7100e+01	2.0080e+01	2.5000e+01
1.7091e+01	2.0091e+01	2.5000e+01
1.7084e+01	2.0100e+01	2.5000e+01
1.7185e+01	2.0035e+01	2.5000e+01
1.7250e+01	2.0002e+01	2.5000e+01
1.7185e+01	2.0035e+01	2.5000e+01
1.7142e+01	2.0058e+01	2.5000e+01
1.7142e+01	2.0058e+01	2.5000e+01
1.7100e+01	2.0080e+01	2.5000e+01
1.7318e+01	2.0018e+01	2.5000e+01
1.7330e+01	2.0020e+01	2.5000e+01
1.7330e+01	2.0020e+01	2.5000e+01
1.7400e+01	2.0037e+01	2.5000e+01
1.7318e+01	2.0018e+01	2.5000e+01
1.7250e+01	2.0002e+01	2.5000e+01
1.7432e+01	2.0068e+01	2.5000e+01
1.7465e+01	2.0100e+01	2.5000e+01
1.7432e+01	2.0068e+01	2.5000e+01
1.7400e+01	2.0037e+01	2.5000e+01
2.3384e+01	2.0084e+01	2.5000e+01
2.3400e+01	2.0065e+01	2.5000e+01
