 *----------------------------------------------------* 
 |       ***	 Operation Timing Report 	***   |
 *----------------------------------------------------* 
 |   #  |   Operation                Duration (ms)    |
 |  80  |  Mode=1_t=1.00_threads=8_(75 X 75) 35582.44    |
 |  81  |  Mode=1_t=1.50_threads=1_(75 X 75) 52124.55    |
 |  82  |  Mode=1_t=1.50_threads=2_(75 X 75) 52101.47    |
 |  83  |  Mode=1_t=1.50_threads=3_(75 X 75) 52125.92    |
 |  84  |  Mode=1_t=1.50_threads=4_(75 X 75) 48390.32    |
 |  85  |  Mode=1_t=1.50_threads=5_(75 X 75) 44196.28    |
 |  86  |  Mode=1_t=1.50_threads=6_(75 X 75) 44262.95    |
 |  87  |  Mode=1_t=1.50_threads=7_(75 X 75) 44240.92    |
 |  88  |  Mode=1_t=1.50_threads=8_(75 X 75) 44240.37    |
 |  89  |  Mode=1_t=2.00_threads=1_(75 X 75) 57844.23    |
 |  90  |  Mode=1_t=2.00_threads=2_(75 X 75) 59228.49    |
 |  91  |  Mode=1_t=2.00_threads=3_(75 X 75) 68035.31    |
 |  92  |  Mode=1_t=2.00_threads=4_(75 X 75) 68151.25    |
 |  93  |  Mode=1_t=2.00_threads=5_(75 X 75) 68103.17    |
 |  94  |  Mode=1_t=2.00_threads=6_(75 X 75) 68076.96    |
 |  95  |  Mode=1_t=2.00_threads=7_(75 X 75) 66866.84    |
 |  96  |  Mode=1_t=2.00_threads=8_(75 X 75) 68171.55    |
 |  97  |  Mode=2_t=0.10_threads=1_(75 X 75) 4548.73     |
 |  98  |  Mode=2_t=0.10_threads=2_(75 X 75) 2317.00     |
 |  99  |  Mode=2_t=0.10_threads=3_(75 X 75) 1686.60     |
 | 100  |  Mode=2_t=0.10_threads=4_(75 X 75) 1212.79     |
 | 101  |  Mode=2_t=0.10_threads=5_(75 X 75) 1095.15     |
 | 102  |  Mode=2_t=0.10_threads=6_(75 X 75) 904.97      |
 | 103  |  Mode=2_t=0.10_threads=7_(75 X 75) 797.63      |
 | 104  |  Mode=2_t=0.10_threads=8_(75 X 75) 723.64      |
 | 105  |  Mode=2_t=0.25_threads=1_(75 X 75) 9799.94     |
 | 106  |  Mode=2_t=0.25_threads=2_(75 X 75) 4983.77     |
 | 107  |  Mode=2_t=0.25_threads=3_(75 X 75) 3419.55     |
 | 108  |  Mode=2_t=0.25_threads=4_(75 X 75) 2523.52     |
 | 109  |  Mode=2_t=0.25_threads=5_(75 X 75) 2176.27     |
 | 110  |  Mode=2_t=0.25_threads=6_(75 X 75) 1810.05     |
 | 111  |  Mode=2_t=0.25_threads=7_(75 X 75) 1513.30     |
 | 112  |  Mode=2_t=0.25_threads=8_(75 X 75) 1411.72     |
 | 113  |  Mode=2_t=0.50_threads=1_(75 X 75) 18968.88    |
 | 114  |  Mode=2_t=0.50_threads=2_(75 X 75) 10045.93    |
 | 115  |  Mode=2_t=0.50_threads=3_(75 X 75) 6913.09     |
 | 116  |  Mode=2_t=0.50_threads=4_(75 X 75) 5020.01     |
 | 117  |  Mode=2_t=0.50_threads=5_(75 X 75) 4154.77     |
 | 118  |  Mode=2_t=0.50_threads=6_(75 X 75) 3405.75     |
 | 119  |  Mode=2_t=0.50_threads=7_(75 X 75) 2835.30     |
 | 120  |  Mode=2_t=0.50_threads=8_(75 X 75) 2553.17     |
