0, 0, 3242.64
0, 1, 1312.31
0, 2, 1600.71
0, 3, 2055.3
0, 4, 2425.8
0, 5, 2685.47
0, 6, 2926.48
0, 7, 3219.71
0, 8, 3601.43
0, 9, 3846.64
0, 10, 5309.37
0, 11, 6664.81
0, 12, 8012.37
0, 13, 9627.01
0, 14, 11048.4
0, 15, 12335
0, 16, 16113.4
0, 17, 18950.8
0, 18, 20839.6
0, 19, 23293.2
0, 20, 26580.8
0, 21, 29886.3
0, 22, 32897.9
0, 23, 35144.3
0, 24, 37865.2
0, 25, 40660.8
0, 26, 43656.4
0, 27, 45394.3
0, 28, 47583
0, 29, 51292.6
0, 30, 53429
0, 31, 55687.3
1, 0, 431.368
1, 1, 496.177
1, 2, 589.567
1, 3, 734.058
1, 4, 820.18
1, 5, 889.611
1, 6, 900.674
1, 7, 1032.34
1, 8, 1072.09
1, 9, 1197.03
1, 10, 1554.86
1, 11, 1827.94
1, 12, 2184.99
1, 13, 2657.99
1, 14, 3065.59
1, 15, 3428.03
1, 16, 4255.93
1, 17, 4953.47
1, 18, 5614.97
1, 19, 6369.04
1, 20, 6875.03
1, 21, 7902.49
1, 22, 8637.49
1, 23, 9247.32
1, 24, 9620.05
1, 25, 10431.1
1, 26, 11409.8
1, 27, 12167.8
1, 28, 12231
1, 29, 13012.4
1, 30, 13541.9
1, 31, 14677.3
2, 0, 471.49
2, 1, 460.169
2, 2, 476.34
2, 3, 458.251
2, 4, 457.354
2, 5, 442.249
2, 6, 477.284
2, 7, 534.314
2, 8, 524.107
2, 9, 651.357
2, 10, 717.616
2, 11, 905.173
2, 12, 1248.03
2, 13, 1304.75
2, 14, 1505.9
2, 15, 1698.43
2, 16, 2049.46
2, 17, 2314.77
2, 18, 2921.46
2, 19, 3151.13
2, 20, 3433.96
2, 21, 3654.26
2, 22, 4212.38
2, 23, 4688.95
2, 24, 4810.89
2, 25, 5469.59
2, 26, 5959.28
2, 27, 6348.53
2, 28, 6747.64
2, 29, 7140.11
2, 30, 7554.51
2, 31, 7815.48
3, 0, 317.221
3, 1, 328.837
3, 2, 329.671
3, 3, 314.197
3, 4, 314.226
3, 5, 318.83
3, 6, 297.068
3, 7, 297.813
3, 8, 302.14
3, 9, 293.838
3, 10, 343.553
3, 11, 414.073
3, 12, 458.901
3, 13, 503.561
3, 14, 556.666
3, 15, 610.287
3, 16, 690.065
3, 17, 778.77
3, 18, 914.9
3, 19, 1080.25
3, 20, 1179.72
3, 21, 1334.46
3, 22, 1471.94
3, 23, 1547.55
3, 24, 1614.23
3, 25, 1773.37
3, 26, 1879.44
3, 27, 1974.57
3, 28, 2074.57
3, 29, 2167.12
3, 30, 2284.03
3, 31, 2397.21
