     X	             Y	             Z
2.5672e+01	1.7520e+00	5.0000e+01
2.5814e+01	1.6930e+00	5.0000e+01
2.5672e+01	1.7520e+00	5.0000e+01
2.5344e+01	1.8940e+00	5.0000e+01
2.6125e+01	1.6073e+00	5.0000e+01
2.6412e+01	1.5304e+00	5.0000e+01
2.6125e+01	1.6073e+00	5.0000e+01
2.6091e+01	1.6170e+00	5.0000e+01
2.6091e+01	1.6170e+00	5.0000e+01
2.5814e+01	1.6930e+00	5.0000e+01
2.6634e+01	1.5177e+00	5.0000e+01
2.6796e+01	1.5103e+00	5.0000e+01
2.6796e+01	1.5103e+00	5.0000e+01
2.7010e+01	1.4982e+00	5.0000e+01
2.6634e+01	1.5177e+00	5.0000e+01
2.6412e+01	1.5304e+00	5.0000e+01
2.7247e+01	1.5335e+00	5.0000e+01
2.7354e+01	1.5502e+00	5.0000e+01
2.7354e+01	1.5502e+00	5.0000e+01
2.7608e+01	1.5872e+00	5.0000e+01
2.7247e+01	1.5335e+00	5.0000e+01
2.7010e+01	1.4982e+00	5.0000e+01
2.8007e+01	1.6948e+00	5.0000e+01
2.8206e+01	1.7485e+00	5.0000e+01
2.8007e+01	1.6948e+00	5.0000e+01
2.7849e+01	1.6534e+00	5.0000e+01
2.7849e+01	1.6534e+00	5.0000e+01
2.7608e+01	1.5872e+00	5.0000e+01
2.8319e+01	1.7806e+00	5.0000e+01
2.8739e+01	1.8940e+00	5.0000e+01
2.8319e+01	1.7806e+00	5.0000e+01
2.8206e+01	1.7485e+00	5.0000e+01
1.9181e+01	2.4374e+00	5.0000e+01
1.9236e+01	2.4034e+00	5.0000e+01
1.9181e+01	2.4374e+00	5.0000e+01
1.9097e+01	2.4920e+00	5.0000e+01
1.9572e+01	2.2304e+00	5.0000e+01
1.9834e+01	2.1010e+00	5.0000e+01
1.9572e+01	2.2304e+00	5.0000e+01
1.9417e+01	2.3109e+00	5.0000e+01
1.9417e+01	2.3109e+00	5.0000e+01
1.9236e+01	2.4034e+00	5.0000e+01
1.9999e+01	2.0594e+00	5.0000e+01
2.0348e+01	1.9783e+00	5.0000e+01
2.0348e+01	1.9783e+00	5.0000e+01
2.0432e+01	1.9577e+00	5.0000e+01
1.9999e+01	2.0594e+00	5.0000e+01
1.9834e+01	2.1010e+00	5.0000e+01
2.0498e+01	1.9604e+00	5.0000e+01
2.0940e+01	1.9842e+00	5.0000e+01
2.0940e+01	1.9842e+00	5.0000e+01
2.1030e+01	1.9877e+00	5.0000e+01
2.0498e+01	1.9604e+00	5.0000e+01
2.0432e+01	1.9577e+00	5.0000e+01
2.1158e+01	2.0215e+00	5.0000e+01
2.1426e+01	2.0956e+00	5.0000e+01
2.1426e+01	2.0956e+00	5.0000e+01
2.1628e+01	2.1476e+00	5.0000e+01
2.1158e+01	2.0215e+00	5.0000e+01
2.1030e+01	1.9877e+00	5.0000e+01
