     X	             Y	             Z
2.6377e+01	1.5597e+00	6.0000e+01
2.6412e+01	1.5464e+00	6.0000e+01
2.6377e+01	1.5597e+00	6.0000e+01
2.6285e+01	1.5950e+00	6.0000e+01
2.6627e+01	1.5110e+00	6.0000e+01
2.6711e+01	1.4975e+00	6.0000e+01
2.6627e+01	1.5110e+00	6.0000e+01
2.6470e+01	1.5371e+00	6.0000e+01
2.6470e+01	1.5371e+00	6.0000e+01
2.6412e+01	1.5464e+00	6.0000e+01
2.6925e+01	1.5102e+00	6.0000e+01
2.7010e+01	1.5154e+00	6.0000e+01
2.6925e+01	1.5102e+00	6.0000e+01
2.6803e+01	1.5033e+00	6.0000e+01
2.6803e+01	1.5033e+00	6.0000e+01
2.6711e+01	1.4975e+00	6.0000e+01
2.7309e+01	1.5949e+00	6.0000e+01
2.7309e+01	1.5949e+00	6.0000e+01
2.7309e+01	1.5949e+00	6.0000e+01
2.7073e+01	1.5324e+00	6.0000e+01
2.7073e+01	1.5324e+00	6.0000e+01
2.7010e+01	1.5154e+00	6.0000e+01
2.7309e+01	1.5949e+00	6.0000e+01
2.7309e+01	1.5950e+00	6.0000e+01
2.7309e+01	1.5949e+00	6.0000e+01
2.7309e+01	1.5949e+00	6.0000e+01
2.5781e+01	1.8608e+00	6.0000e+01
2.5814e+01	1.8364e+00	6.0000e+01
2.5781e+01	1.8608e+00	6.0000e+01
2.5736e+01	1.8940e+00	6.0000e+01
2.5966e+01	1.7470e+00	6.0000e+01
2.6113e+01	1.6615e+00	6.0000e+01
2.5966e+01	1.7470e+00	6.0000e+01
2.5954e+01	1.7541e+00	6.0000e+01
2.5954e+01	1.7541e+00	6.0000e+01
2.5814e+01	1.8364e+00	6.0000e+01
2.6161e+01	1.6428e+00	6.0000e+01
2.6285e+01	1.5950e+00	6.0000e+01
2.6161e+01	1.6428e+00	6.0000e+01
2.6113e+01	1.6615e+00	6.0000e+01
2.7517e+01	1.6862e+00	6.0000e+01
2.7309e+01	1.5950e+00	6.0000e+01
2.7517e+01	1.6862e+00	6.0000e+01
2.7608e+01	1.7255e+00	6.0000e+01
2.7904e+01	1.8909e+00	6.0000e+01
