     X	             Y	             Z
2.6296e+01	1.1802e+00	4.0000e+01
2.6412e+01	1.1518e+00	4.0000e+01
2.6296e+01	1.1802e+00	4.0000e+01
2.5850e+01	1.2960e+00	4.0000e+01
2.6848e+01	1.1335e+00	4.0000e+01
2.7010e+01	1.1280e+00	4.0000e+01
2.6848e+01	1.1335e+00	4.0000e+01
2.6561e+01	1.1466e+00	4.0000e+01
2.6561e+01	1.1466e+00	4.0000e+01
2.6412e+01	1.1518e+00	4.0000e+01
2.7523e+01	1.2107e+00	4.0000e+01
2.7608e+01	1.2250e+00	4.0000e+01
2.7523e+01	1.2107e+00	4.0000e+01
2.7154e+01	1.1525e+00	4.0000e+01
2.7154e+01	1.1525e+00	4.0000e+01
2.7010e+01	1.1280e+00	4.0000e+01
2.7663e+01	1.2412e+00	4.0000e+01
2.7856e+01	1.2960e+00	4.0000e+01
2.7663e+01	1.2412e+00	4.0000e+01
2.7608e+01	1.2250e+00	4.0000e+01
1.9229e+01	1.8874e+00	4.0000e+01
1.9236e+01	1.8835e+00	4.0000e+01
1.9229e+01	1.8874e+00	4.0000e+01
1.9219e+01	1.8940e+00	4.0000e+01
1.9631e+01	1.6911e+00	4.0000e+01
1.9834e+01	1.5968e+00	4.0000e+01
1.9631e+01	1.6911e+00	4.0000e+01
1.9256e+01	1.8738e+00	4.0000e+01
1.9256e+01	1.8738e+00	4.0000e+01
1.9236e+01	1.8835e+00	4.0000e+01
2.0080e+01	1.5423e+00	4.0000e+01
2.0213e+01	1.5154e+00	4.0000e+01
2.0213e+01	1.5154e+00	4.0000e+01
2.0432e+01	1.4683e+00	4.0000e+01
2.0080e+01	1.5423e+00	4.0000e+01
1.9834e+01	1.5968e+00	4.0000e+01
2.0617e+01	1.4812e+00	4.0000e+01
2.0827e+01	1.4986e+00	4.0000e+01
2.0827e+01	1.4986e+00	4.0000e+01
2.1030e+01	1.5122e+00	4.0000e+01
2.0617e+01	1.4812e+00	4.0000e+01
2.0432e+01	1.4683e+00	4.0000e+01
2.1336e+01	1.6018e+00	4.0000e+01
2.1628e+01	1.6852e+00	4.0000e+01
2.1336e+01	1.6018e+00	4.0000e+01
2.1325e+01	1.5989e+00	4.0000e+01
