     X	             Y	             Z
4.4800e+00	1.5325e+00	2.0000e+00
4.4800e+00	1.5325e+00	2.0000e+00
4.5532e+00	1.5068e+00	2.0000e+00
4.5532e+00	1.5068e+00	2.0000e+00
5.0600e+00	1.3243e+00	2.0000e+00
5.0600e+00	1.3243e+00	2.0000e+00
4.8650e+00	1.3850e+00	2.0000e+00
4.8650e+00	1.3850e+00	2.0000e+00
5.2367e+00	1.1767e+00	2.0000e+00
5.2367e+00	1.1767e+00	2.0000e+00
5.4770e+00	1.0000e+00	2.0000e+00
3.4473e+00	1.0000e+00	2.0000e+00
3.6805e+00	1.2195e+00	2.0000e+00
3.6805e+00	1.2195e+00	2.0000e+00
4.4157e+00	1.5157e+00	2.0000e+00
4.4157e+00	1.5157e+00	2.0000e+00
3.9000e+00	1.3946e+00	2.0000e+00
3.9000e+00	1.3946e+00	2.0000e+00
4.0426e+00	1.4374e+00	2.0000e+00
4.0426e+00	1.4374e+00	2.0000e+00
