     X	             Y	             Z
2.7002e+01	1.8861e+00	7.0000e+01
2.7010e+01	1.8857e+00	7.0000e+01
2.7002e+01	1.8861e+00	7.0000e+01
2.6881e+01	1.8940e+00	7.0000e+01
2.7016e+01	1.8879e+00	7.0000e+01
2.7034e+01	1.8940e+00	7.0000e+01
2.7016e+01	1.8879e+00	7.0000e+01
2.7010e+01	1.8857e+00	7.0000e+01
2.0400e+01	2.4596e+00	7.0000e+01
2.0432e+01	2.4472e+00	7.0000e+01
2.0400e+01	2.4596e+00	7.0000e+01
2.0319e+01	2.4920e+00	7.0000e+01
2.0470e+01	2.4543e+00	7.0000e+01
2.0691e+01	2.4920e+00	7.0000e+01
2.0470e+01	2.4543e+00	7.0000e+01
2.0432e+01	2.4472e+00	7.0000e+01
2.5664e+01	2.3424e+00	7.0000e+01
2.5814e+01	2.2238e+00	7.0000e+01
2.5664e+01	2.3424e+00	7.0000e+01
2.5481e+01	2.4920e+00	7.0000e+01
2.6032e+01	2.1124e+00	7.0000e+01
2.6350e+01	1.9559e+00	7.0000e+01
2.6350e+01	1.9559e+00	7.0000e+01
2.6412e+01	1.9250e+00	7.0000e+01
2.6032e+01	2.1124e+00	7.0000e+01
2.5814e+01	2.2238e+00	7.0000e+01
2.6441e+01	1.9228e+00	7.0000e+01
2.6881e+01	1.8940e+00	7.0000e+01
2.6441e+01	1.9228e+00	7.0000e+01
2.6412e+01	1.9250e+00	7.0000e+01
2.7462e+01	2.0400e+00	7.0000e+01
2.7034e+01	1.8940e+00	7.0000e+01
2.7462e+01	2.0400e+00	7.0000e+01
2.7608e+01	2.0877e+00	7.0000e+01
2.8068e+01	2.3542e+00	7.0000e+01
2.8206e+01	2.4333e+00	7.0000e+01
2.8068e+01	2.3542e+00	7.0000e+01
2.7863e+01	2.2372e+00	7.0000e+01
2.7863e+01	2.2372e+00	7.0000e+01
2.7608e+01	2.0877e+00	7.0000e+01
2.8243e+01	2.4554e+00	7.0000e+01
2.8305e+01	2.4920e+00	7.0000e+01
2.8243e+01	2.4554e+00	7.0000e+01
2.8206e+01	2.4333e+00	7.0000e+01
1.9624e+01	2.8802e+00	7.0000e+01
1.9834e+01	2.6894e+00	7.0000e+01
1.9624e+01	2.8802e+00	7.0000e+01
1.9401e+01	3.0900e+00	7.0000e+01
1.9973e+01	2.6308e+00	7.0000e+01
2.0319e+01	2.4920e+00	7.0000e+01
1.9973e+01	2.6308e+00	7.0000e+01
1.9834e+01	2.6894e+00	7.0000e+01
2.0981e+01	2.5413e+00	7.0000e+01
2.0691e+01	2.4920e+00	7.0000e+01
2.0981e+01	2.5413e+00	7.0000e+01
2.1030e+01	2.5489e+00	7.0000e+01
2.1174e+01	2.6364e+00	7.0000e+01
2.1366e+01	2.7538e+00	7.0000e+01
2.1366e+01	2.7538e+00	7.0000e+01
2.1628e+01	2.9081e+00	7.0000e+01
2.1174e+01	2.6364e+00	7.0000e+01
2.1030e+01	2.5489e+00	7.0000e+01
2.1730e+01	2.9878e+00	7.0000e+01
2.1865e+01	3.0900e+00	7.0000e+01
2.1730e+01	2.9878e+00	7.0000e+01
2.1628e+01	2.9081e+00	7.0000e+01
2.5013e+01	2.8872e+00	7.0000e+01
2.5216e+01	2.7101e+00	7.0000e+01
2.5013e+01	2.8872e+00	7.0000e+01
2.4787e+01	3.0900e+00	7.0000e+01
2.5335e+01	2.6108e+00	7.0000e+01
2.5481e+01	2.4920e+00	7.0000e+01
2.5335e+01	2.6108e+00	7.0000e+01
2.5216e+01	2.7101e+00	7.0000e+01
2.8620e+01	2.6762e+00	7.0000e+01
2.8305e+01	2.4920e+00	7.0000e+01
2.8620e+01	2.6762e+00	7.0000e+01
2.8804e+01	2.7810e+00	7.0000e+01
2.9255e+01	2.9425e+00	7.0000e+01
2.9402e+01	2.9953e+00	7.0000e+01
2.9255e+01	2.9425e+00	7.0000e+01
2.9030e+01	2.8637e+00	7.0000e+01
2.9030e+01	2.8637e+00	7.0000e+01
2.8804e+01	2.7810e+00	7.0000e+01
2.9902e+01	2.9919e+00	7.0000e+01
3.0000e+01	2.9920e+00	7.0000e+01
2.9902e+01	2.9919e+00	7.0000e+01
2.9497e+01	2.9954e+00	7.0000e+01
2.9497e+01	2.9954e+00	7.0000e+01
2.9402e+01	2.9953e+00	7.0000e+01
1.3843e+01	3.6774e+00	7.0000e+01
1.3854e+01	3.6666e+00	7.0000e+01
1.3843e+01	3.6774e+00	7.0000e+01
1.3834e+01	3.6880e+00	7.0000e+01
1.4320e+01	3.5559e+00	7.0000e+01
1.4452e+01	3.5277e+00	7.0000e+01
1.4320e+01	3.5559e+00	7.0000e+01
1.3882e+01	3.6604e+00	7.0000e+01
1.3882e+01	3.6604e+00	7.0000e+01
1.3854e+01	3.6666e+00	7.0000e+01
1.4555e+01	3.5847e+00	7.0000e+01
1.4754e+01	3.6880e+00	7.0000e+01
1.4555e+01	3.5847e+00	7.0000e+01
1.4452e+01	3.5277e+00	7.0000e+01
1.9035e+01	3.4873e+00	7.0000e+01
1.9236e+01	3.2471e+00	7.0000e+01
1.9035e+01	3.4873e+00	7.0000e+01
1.8872e+01	3.6880e+00	7.0000e+01
1.9316e+01	3.1698e+00	7.0000e+01
1.9401e+01	3.0900e+00	7.0000e+01
1.9316e+01	3.1698e+00	7.0000e+01
1.9236e+01	3.2471e+00	7.0000e+01
2.2071e+01	3.2452e+00	7.0000e+01
2.1865e+01	3.0900e+00	7.0000e+01
2.2071e+01	3.2452e+00	7.0000e+01
2.2226e+01	3.3589e+00	7.0000e+01
2.2430e+01	3.4836e+00	7.0000e+01
2.2777e+01	3.6880e+00	7.0000e+01
2.2430e+01	3.4836e+00	7.0000e+01
2.2226e+01	3.3589e+00	7.0000e+01
2.3999e+01	3.6668e+00	7.0000e+01
2.4020e+01	3.6610e+00	7.0000e+01
2.3999e+01	3.6668e+00	7.0000e+01
2.3925e+01	3.6880e+00	7.0000e+01
2.4355e+01	3.4245e+00	7.0000e+01
2.4618e+01	3.2434e+00	7.0000e+01
2.4355e+01	3.4245e+00	7.0000e+01
2.4111e+01	3.5968e+00	7.0000e+01
2.4111e+01	3.5968e+00	7.0000e+01
2.4020e+01	3.6610e+00	7.0000e+01
2.4698e+01	3.1699e+00	7.0000e+01
2.4787e+01	3.0900e+00	7.0000e+01
2.4698e+01	3.1699e+00	7.0000e+01
2.4618e+01	3.2434e+00	7.0000e+01
1.3555e+01	3.9867e+00	7.0000e+01
1.3834e+01	3.6880e+00	7.0000e+01
1.3550e+01	3.9921e+00	7.0000e+01
1.3286e+01	4.2860e+00	7.0000e+01
1.3550e+01	3.9921e+00	7.0000e+01
1.3555e+01	3.9867e+00	7.0000e+01
1.4949e+01	3.7891e+00	7.0000e+01
1.4754e+01	3.6880e+00	7.0000e+01
1.4949e+01	3.7891e+00	7.0000e+01
1.5050e+01	3.8385e+00	7.0000e+01
1.5278e+01	4.0578e+00	7.0000e+01
1.5526e+01	4.2860e+00	7.0000e+01
1.5278e+01	4.0578e+00	7.0000e+01
1.5050e+01	3.8385e+00	7.0000e+01
1.8495e+01	4.1433e+00	7.0000e+01
1.8638e+01	3.9811e+00	7.0000e+01
1.8495e+01	4.1433e+00	7.0000e+01
1.8373e+01	4.2860e+00	7.0000e+01
1.8767e+01	3.8173e+00	7.0000e+01
1.8872e+01	3.6880e+00	7.0000e+01
1.8767e+01	3.8173e+00	7.0000e+01
1.8638e+01	3.9811e+00	7.0000e+01
2.2807e+01	3.7054e+00	7.0000e+01
2.2777e+01	3.6880e+00	7.0000e+01
2.2807e+01	3.7054e+00	7.0000e+01
2.2824e+01	3.7153e+00	7.0000e+01
2.2858e+01	3.7217e+00	7.0000e+01
2.3299e+01	3.8111e+00	7.0000e+01
2.3299e+01	3.8111e+00	7.0000e+01
2.3422e+01	3.8342e+00	7.0000e+01
2.2858e+01	3.7217e+00	7.0000e+01
2.2824e+01	3.7153e+00	7.0000e+01
2.3534e+01	3.8002e+00	7.0000e+01
2.3925e+01	3.6880e+00	7.0000e+01
2.3534e+01	3.8002e+00	7.0000e+01
2.3422e+01	3.8342e+00	7.0000e+01
1.3049e+01	4.6769e+00	7.0000e+01
1.3256e+01	4.3207e+00	7.0000e+01
1.3049e+01	4.6769e+00	7.0000e+01
1.2933e+01	4.8840e+00	7.0000e+01
1.3272e+01	4.3020e+00	7.0000e+01
1.3286e+01	4.2860e+00	7.0000e+01
1.3272e+01	4.3020e+00	7.0000e+01
1.3256e+01	4.3207e+00	7.0000e+01
1.5589e+01	4.3448e+00	7.0000e+01
1.5526e+01	4.2860e+00	7.0000e+01
1.5589e+01	4.3448e+00	7.0000e+01
1.5648e+01	4.3968e+00	7.0000e+01
1.5900e+01	4.6316e+00	7.0000e+01
1.6183e+01	4.8840e+00	7.0000e+01
1.5900e+01	4.6316e+00	7.0000e+01
1.5648e+01	4.3968e+00	7.0000e+01
1.7925e+01	4.7685e+00	7.0000e+01
1.8040e+01	4.6829e+00	7.0000e+01
1.7925e+01	4.7685e+00	7.0000e+01
1.7775e+01	4.8840e+00	7.0000e+01
1.8220e+01	4.4658e+00	7.0000e+01
1.8373e+01	4.2860e+00	7.0000e+01
1.8220e+01	4.4658e+00	7.0000e+01
1.8040e+01	4.6829e+00	7.0000e+01
1.2625e+01	5.4491e+00	7.0000e+01
1.2658e+01	5.3855e+00	7.0000e+01
1.2625e+01	5.4491e+00	7.0000e+01
1.2609e+01	5.4820e+00	7.0000e+01
1.2834e+01	5.0600e+00	7.0000e+01
1.2933e+01	4.8840e+00	7.0000e+01
1.2834e+01	5.0600e+00	7.0000e+01
1.2658e+01	5.3855e+00	7.0000e+01
1.6216e+01	4.9139e+00	7.0000e+01
1.6183e+01	4.8840e+00	7.0000e+01
1.6216e+01	4.9139e+00	7.0000e+01
1.6246e+01	4.9396e+00	7.0000e+01
1.6356e+01	4.9937e+00	7.0000e+01
