     X	             Y	             Z
2.6408e+01	3.9523e-01	2.0000e+01
2.6412e+01	3.9459e-01	2.0000e+01
2.6408e+01	3.9523e-01	2.0000e+01
2.6387e+01	3.9900e-01	2.0000e+01
2.6688e+01	3.7583e-01	2.0000e+01
2.6711e+01	3.7439e-01	2.0000e+01
2.6688e+01	3.7583e-01	2.0000e+01
2.6417e+01	3.9430e-01	2.0000e+01
2.6417e+01	3.9430e-01	2.0000e+01
2.6412e+01	3.9459e-01	2.0000e+01
2.6998e+01	3.8690e-01	2.0000e+01
2.7010e+01	3.8748e-01	2.0000e+01
2.6998e+01	3.8690e-01	2.0000e+01
2.6734e+01	3.7554e-01	2.0000e+01
2.6734e+01	3.7554e-01	2.0000e+01
2.6711e+01	3.7439e-01	2.0000e+01
2.7020e+01	3.8901e-01	2.0000e+01
2.7088e+01	3.9900e-01	2.0000e+01
2.7020e+01	3.8901e-01	2.0000e+01
2.7010e+01	3.8748e-01	2.0000e+01
1.9754e+01	6.1770e-01	2.0000e+01
1.9834e+01	5.8840e-01	2.0000e+01
1.9754e+01	6.1770e-01	2.0000e+01
1.9540e+01	6.9800e-01	2.0000e+01
1.9987e+01	5.5168e-01	2.0000e+01
2.0133e+01	5.1706e-01	2.0000e+01
1.9987e+01	5.5168e-01	2.0000e+01
1.9978e+01	5.5376e-01	2.0000e+01
1.9978e+01	5.5376e-01	2.0000e+01
1.9834e+01	5.8840e-01	2.0000e+01
2.0241e+01	5.0680e-01	2.0000e+01
2.0332e+01	4.9883e-01	2.0000e+01
2.0332e+01	4.9883e-01	2.0000e+01
2.0432e+01	4.8946e-01	2.0000e+01
2.0241e+01	5.0680e-01	2.0000e+01
2.0133e+01	5.1706e-01	2.0000e+01
2.0527e+01	4.9436e-01	2.0000e+01
2.0630e+01	5.0033e-01	2.0000e+01
2.0630e+01	5.0033e-01	2.0000e+01
2.0731e+01	5.0546e-01	2.0000e+01
2.0527e+01	4.9436e-01	2.0000e+01
2.0432e+01	4.8946e-01	2.0000e+01
2.0862e+01	5.2994e-01	2.0000e+01
2.0893e+01	5.3594e-01	2.0000e+01
2.0893e+01	5.3594e-01	2.0000e+01
2.1030e+01	5.6117e-01	2.0000e+01
2.0862e+01	5.2994e-01	2.0000e+01
2.0731e+01	5.0546e-01	2.0000e+01
2.1260e+01	6.2904e-01	2.0000e+01
2.1329e+01	6.4944e-01	2.0000e+01
2.1260e+01	6.2904e-01	2.0000e+01
2.1135e+01	5.9275e-01	2.0000e+01
2.1135e+01	5.9275e-01	2.0000e+01
2.1030e+01	5.6117e-01	2.0000e+01
2.1364e+01	6.6284e-01	2.0000e+01
